Plot,Forest_type,Canopy_cover,BA,Mean_height,AGB,Density_trees,Density_branches
29,conserved,98.44,8.07,5.49,23.49,720,1660
10,conserved,98.44,12.88,5.37,37.47,720,1480
17,conserved,98.44,17.81,6.07,51.82,1060,1600
23,conserved,83.88,8.34,7.42,24.27,740,860
33,conserved,96.62,11.12,6.48,32.37,680,940
12,conserved,93.76,13.22,3.71,38.46,460,1120
31,conserved,96.62,5.42,5.05,15.77,560,1100
34,conserved,100,16.29,6.15,47.41,700,1420
4,conserved,97.66,7.34,5.76,21.35,580,760
6,conserved,96.1,8.89,4.91,25.87,720,1520
24,conserved,93.5,12.72,7.73,37.03,660,1740
35,conserved,97.92,21.47,7.4,62.46,800,1160
28,conserved,98.96,14.73,5.92,42.88,920,2020
19,conserved,99.48,15.19,5.31,44.21,1240,2020
11,conserved,89.86,13.83,6.71,40.23,600,1100
43,conserved,96.1,12.47,5.26,36.31,840,1720
8,conserved,97.92,4.95,7.29,14.4,220,480
26,conserved,97.92,10.65,5.8,31.01,1200,1540
41,degraded,92.98,7.67,4.28,22.32,1400,2340
40,degraded,24.08,7.09,4.74,20.63,680,1700
21,degraded,50.08,2.9,4.1,8.44,220,1400
25,degraded,70.36,4.61,4.89,13.43,420,1380
18,degraded,16,2.69,2.59,7.82,300,540
22,degraded,91.68,6.61,5.29,19.24,960,1400
13,degraded,75.82,4.81,2.94,14.01,460,900
15,degraded,84.14,5.65,4.05,16.44,560,1220
3,degraded,90.9,5.87,5.7,17.09,460,820
42,degraded,63.08,8.49,5.04,24.72,580,1560
7,degraded,51.9,3.98,3.7,11.58,300,1140
2,degraded,47.22,4.4,4.86,12.8,440,740
30,degraded,93.5,19.87,5.05,57.8,940,1860
5,degraded,93.76,10.83,7.27,31.53,1420,2560
16,degraded,66.98,8.68,4.13,25.31,680,1460
14,degraded,100,4.67,3.89,13.61,700,1800
9,degraded,74.26,12.59,6.51,36.54,1420,2100
20,degraded,86.22,11.53,4.56,33.26,1140,2120
